id,index,teller,message,condition,action
1000,0,2,반갑군.,,
1000,1,2,자네가 소문으로만 듣던 피터인가?,,
1001,0,0,"네, 그렇습니다.",,
1002,0,2,나는 이곳의 총감독관이네.,,
1003,0,0,…앞으로 잘 부탁드립니다.,,
1004,0,2,나한테 잘 보여봤자 소용없어.,,
1004,1,2,오롯이 원칙만으로 판단할 테니 말이야.,,
1005,0,0,판단이라면…?,,
1006,0,2,자네가 이곳에 남아 있을 가치가 있는지,,
1006,1,2,혹은 없는지… 그런 판단 말이지.,,
1006,2,2,자네가 알고 있는진 모르겠지만,,
1006,3,2,이곳에서 일주일 이상 버틴 사람이 없네.,,
1006,4,2,그만큼 이곳의 업무가 어려울 거란 말이지.,,
1006,5,2,이렇게 갑자기 사람이 들어온 것도 이상하지만…,,
1006,6,2,"뭐, 일단 업무부터 시작하도록 하지.",,
1006,7,2,G 버튼을 한 번 눌러보겠나?,InputKeyG,
1006,8,2,잘했어. 그게 바로 가이드 창이란 거네.,,
1006,9,2,앞으로 판결할 때 참고하게 될 거야.,,
1006,10,2,"자네도 알겠지만, 우리 사회는",,
1006,11,2,유전 정보로 인간의 등급을 나눠 평가하고 있지.,,
1006,12,2,우선적으로 시민 등급에 의거하여 판결해야 할 걸세.,,
1007,0,0,알겠습니다.,,
1008,0,2,그럼 G 버튼을 눌러 다시 창을 닫아보게.,InputKeyG,
1008,1,2,그래.,,
1008,2,2,그다음으로 확인해 볼 건 사건 기록서야.,,
1008,3,2,사형수를 클릭하여 확인할 수 있지.,,
1008,4,2,한번 클릭해 보게.,ClickAttacker,
1008,5,2,"이름, 죄목, 발생 장소, 피해자, 경위…",,
1008,6,2,여기 있는 정보가 판결의 기준이 될 테니,,
1008,7,2,항상 판결하기 전에 확인해 봐야 할 거야.,,
1008,8,2,물론 아직 시스템이 수복되지 않아 이 정도고,,
1008,9,2,시스템을 복구하면 할수록 확인할 건 늘어나겠지.,,
1009,0,0,아직 시스템이 완벽히 복구되지 않은 겁니까?,,
1010,0,2,유감스럽게도 전쟁 이후로 인력을 많이 잃어서,,
1010,1,2,복구에 난항을 겪고 있는 모양이야.,,
1010,2,2,이후로 피해자 정보부터 차차 복구될 테니,,
1010,3,2,일단은 업무에 적응하는 게 우선일 것 같군.,,
1010,4,2,다시 G 버튼을 눌러보게.,InputKeyG,
1010,5,2,목차 중에서 기본 판결 가이드를 눌러보겠나?,ClickBasicJudgementGuide,
1010,6,2,그렇게 원하는 본문으로 바로 이동할 수 있다네.,,
1010,7,2,"흠, 좋아.",,
1010,8,2,현재로선 시민 등급에 따라 판결하면 되겠군.,,
1010,9,2,지금은 구역 간 통행이 불가능한 상태이니,,
1010,10,2,시민 등급을 유추하는 데엔 어렵지 않을 거야.,,
1010,11,2,범행 장소가 곧 가해자와 피해자의,,
1010,12,2,시민 등급이라 생각하면 될 테니 말이지.,,
1011,0,0,그렇군요.,,
1012,0,2,그리고 자네가 보고 있는 CCTV 화면은,,
1012,1,2,사형 집행장과 연결되어 있어.,,
1012,0,2,사형수를 클릭한 뒤 올려보겠나? 화면 밖까지.,Todesstrafe,
1013,0,0,… …!,,
1014,0,2,잘했네.,,
1015,0,0,저 사람은 어떻게 된 겁니까?,,
1016,0,2,죽은 거지. 방금 자네가 잡아당겨 죽이지 않았나.,,
1017,0,0,대체 무슨…,,
1018,0,2,걱정하지는 말라고. 어차피 죽을 사람이었으니까.,,
1018,1,2,괜히 죄책감 가졌다간 여기서 오래 못 버틸 걸세.,,
1019,0,0,… …,,
1020,0,2,반대로 이번엔 줄을 가로로 잘라보겠나?,Amnesty,
1021,0,0,"오, 신이시여. 감사합니다…",,
1022,0,2,그렇게 하면 사면할 수 있지.,,
1022,1,2,알량한 감정으로 살려선 안 될 거야.,,
1022,2,2,오롯이 판결 내용에 의거하여 죽이고 살린다.,,
1022,3,2,요컨대 이렇게만 하면 살아남을 수는 있을 걸세.,,
1023,0,0,말도 안 돼…,,
1024,0,2,그런 나약한 감정은 일찍 버릴수록 좋아.,,
1024,1,2,알다시피 요즘 세상이 여간 흉흉한 게 아니지 않은가.,,
1024,2,2,살아남으려면 어쩔 수 없는 셈이지.,,
1024,3,2,…마지막으로 스페이스를 눌러보겠나?,InputKeySpace,
1024,4,2,이게 화면 아래에 있는 자네의 책상이야.,,
1024,5,2,"저 배지는 정부에서 주는 건데, 흠…",,
1024,6,2,자네의 목숨이라고 말하는 게 빠르겠군.,,
1024,7,2,자네가 판결을 틀릴 때마다,,
1024,8,2,총감독관인 내가 찾아올 예정이야.,,
1024,9,2,그리고 찾아올 때마다 배지를 압수할 것이네.,,
1025,0,0,배지를 모두 빼앗기면 어떻게 되는 겁니까?,,
1026,0,2,쓸모를 증명하지 못한 거지.,,
1026,1,2,… …,,
1026,2,2,우리 정부는 쓸모없는 인간을 원하지 않네.,,
1026,3,2,자네는 곧바로 추방이야.,,
1026,4,2,정부를 통해서만 일자리를 얻는 지금,,
1026,5,2,추방된 자네의 말로는 어떻게 될지… 잘 알고 있겠지.,,
1026,6,2,"이런, 그렇게 보지 말라고.",,
1026,7,2,유감이지만 자네를 감시하는 것도 내 업무라서 말이야.,,
1026,8,2,나 또한 쓸모를 증명하지 않으면 쫓겨나니,,
1026,9,2,별 수 있나.,,
1026,10,2,그러니 자네가 할 일은 딱 하나.,,
1026,11,2,최대한 옳은 판결을 내려 버티는 걸세.,,
1026,12,2,그래도 너무 상심하지는 말게.,,
1026,13,2,판결하며 얻은 포인트로 배지를 살 수도 있으니 말이지.,,
1026,14,2,"…이런, 말이 너무 길었군.",,
1026,15,2,새로 사람이 오는 게 너무 오랜만이라,,
1026,16,2,나도 모르게 들떴나 보군.,,
1026,17,2,곧바로 업무를 시작하도록 하지.,,
1026,18,2,"아, 그리고 T 버튼을 눌러보면",,
1026,19,2,나와 했던 대화를 복기할 수도 있을 거야.,,
1026,20,2,"그럼, 건투를 비네.",,
1026,21,2,모든 것은 이상을 위하여.,,
