id,index,teller,message,condition,
6000,0,2,"반갑네, 피터.",,
6000,1,2,오늘은 아주 좋지 않은 소식이 있어.,,
6000,2,2,시스템을 수복하는 과정에서,,
6000,3,2,아주 치명적인 오류를 발견한 모양이야.,,
6000,4,2,그동안 우리가 판결하며 참고한 정보에,,
6000,5,2,큰 오류들이 있었다더군.,,
6001,0,0,…그게 무슨 말입니까.,,
6002,0,2,"뭐긴 뭐야, 애초에 우리가 본 정보가 잘못된 경우도",,
6002,1,2,많았다는 거지.,,
6002,2,2,아마 자네가 죽인 인간의 6할 정도는,,
6002,3,2,어쩌면 무고한 사람이었을지도 모르겠군.,,
6002,4,2,애초에 사형수 당사자가 아니었을 가능성도,,
6002,5,2,고려하고 있는 상황이라고 하니…,,
6002,6,2,영 좋지 않은 분위기인 건 분명하지.,,
6002,7,2,그 때문에 반발이 심한 상황이네.,,
6002,8,2,이번에는 저등급 시민의 반발이 아니라,, 
6002,9,2,무시하기도 어려운 것 같군.,,
6002,10,2,무고하게 죽은 중상급 시민들의 가족들이 들고일어났거든.,,
6002,11,2,여러모로 상황이 재밌게 돌아가고 있어.,,
6002,12,2,"뭐, 결론적으로 그 완벽한 정부가 잘못을 시인했네.",,
6002,13,2,그러니 지금은 임시로 사형 판결을,,
6002,14,2,보류할 수도 있게 된 모양이야.,,
6002,15,2,"요컨대 정보 오류가 3회 이상 발견되었을 경우,",,
6002,16,2,임시 사면 조치를 하라는 것이지.,,
6002,17,2,불법 이동자도 시민 등급을 포함한 정보 오류가,,
6002,18,2,3회 이상 발견될 경우 보류할 수 있는 모양이야.,,
6002,19,2,애초에 최하급 시민이 아닐 수도 있다고 판단하단 거겠지.,,
6002,20,2,그 외에는 국가 재건 프로젝트를 위해,,
6002,21,2,특이 직업이 대폭 변했다는 것 정도일까…,,
6002,22,2,그리고 당분간은 특별히 출퇴근길에 조심하는 게 좋겠어.,,
6002,23,2,"아무리 업무라 해도, 무고한 누군가의 가족을 죽인 이는",,
6002,24,2,"결론적으로 사형 집행자인 피터, 자네가 아니겠어.",,
6003,0,0,… …,,
6004,0,2,괜한 분노가 자네를 향할 수도 있다는 거지.,,
6004,1,2,"뭐, 오늘도 모쪼록 힘써보라고.",,
6004,2,2,모든 것은 이상을 위하여.,,
6005,0,0,…모든 것은 이상을 위하여.,,
6005,1,0,"모든 것은 이상을 위하여, 모든 것은 이상을 위하여…",,
6005,2,0,모든 것은 이상을 위하여.,,
6005,3,0,"모든 것은 이상, 이상, 이상…",,
6005,4,0,"이상, 이상, 이상, 이상, 이상, 이상",activeEntirehallucination,
