id,index,teller,message,condition,action
2000,0,2,"오, 피터 자네.",,
2000,1,2,용케 첫날을 버텨냈군?,,
2000,2,2,으레 처음이 어려운 법이지.,,
2000,3,2,나중엔 업무에 차차 적응하게 될 걸세.,,
2001,0,0,…감사합니다.,,
2002,0,2,반응이 시원찮군.,,
2002,1,2,어쨌든 오늘도 전달 사항이 있네.,,
2002,2,2,아무래도 전쟁이 끝난 직후라,,
2002,3,2,제대로 체계가 잡히지 않은 게 많단 말이지.,,
2002,4,2,그래서 매일 아침마다 총감독관인 내가,,
2002,5,2,변동 사항에 대해 일러주기로 결정했어.,,
2002,6,2,물론 오늘도 변동 사항이 있지.,,
2003,0,0,변동 사항이라면…?,,
2004,0,2,그래. 자네가 업무할 때마다 참고해야 할…,,
2004,1,2,위대한 정부의 규율 말이야.,,
2004,2,2,다만 오늘은 안타까운 소식이 있어.,, 
2004,3,2,구역 간 이동이 불가능하도록,,
2004,4,2,철저히 통제하고 있었는데도 쥐새끼가 숨어 있었다더군.,,
2004,5,2,다른 구역으로 몰래 이동한 시민이 있다는 정보가 입수됐어.,,
2004,6,2,그러니 사형수의 시민 등급이 발생 장소와 다를 수 있게 됐지.,,
2005,0,0,…그럼 사형수의 시민 등급을 어떻게 확인하죠?,,
2006,0,2,그거 좋은 질문이군.,,
2006,1,2,앞으로는 사형수의 성으로 시민 등급을 확인해야 할 거야.,,
2006,2,2,가문과 부모의 유전 정보를 나타내는 개개인의 성은,,
2006,3,2,지금으로서 시민 등급을 확인하기엔 가장 확실한 정보지.,,
2006,4,2,아무래도 유전적으로 각인되어 있으니,,
2006,5,2,오류가 날 일도 거의 없고 말이야.,,
2006,6,2,가이드 창에 각 시민 등급 별로 존재하는,,
2006,7,2,성에 대한 정보를 올려두었네.,,
2006,8,2,확인해 보는 게 좋을 거야.,,
2006,9,2,그리고 정부로부터 또 다른 지령이 내려왔어.,,
2006,10,2,아무래도 지금 상황이 너무 흉흉해서 말이야…,,
2006,11,0,불안정한 치안을 잠재우기 위해서라도,,
2006,12,2,사형 판결 조건을 대폭 낮추겠다더군.,,
2006,13,2,요컨대 치안을 어지럽힐 만한 반동분자는 모조리,,
2006,14,2,죽여버리라는 뜻이겠지.,,
2007,0,0,…그렇게 해도 되는 겁니까?,,
2008,0,2,"뭐, 위에서 그렇게 하라는데",,
2008,1,2,우리라고 별 수 있나.,,
2008,2,2,특히 최하급 시민이 문제야.,,
2008,3,2,뭐만 하면 문제를 일으키는 열등한 생물들이지.,,
2008,4,2,최하급 시민은 사형대에 올라오는 족족 다 죽이라고 하더군.,,
2008,5,2,"…이런, 최하급 시민인 자네에게는",,
2008,6,2,조금 안타까운 소식일지도 모르겠어.,,
2009,0,0,상관없습니다. 제 얘기가 아니니까요.,,
2010,0,2,…그래. 자네도 정부에 어울리는,,
2010,1,2,어엿한 일원이 되어가는 것 같아 기쁘군.,,
2010,2,2,추가로 유실되었던 범죄 경위 정보를 확보했다고 해.,,
2010,3,2,앞으로 범죄 경위까지 판결에 참고해야 할 테니…,,
2010,4,2,조금 바빠지겠어.,,
2010,5,2,자세한 건 가이드 창을 확인해 보도록 해.,,
2010,6,2,"그럼, 이만 실례하도록 하지.",,
2010,7,2,모든 것은 이상을 위하여.,,
2011,0,0,…모든 것은 이상을 위하여.,,
2011,1,0,"최하급 시민은 다 죽이라니, 도대체…",,
